,Cluster Labels,ID,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Latitude,Longitude,Name
0,2,1,establishment,point_of_interest,health,finance,school,political,store,food,dentist,insurance_agency,26.79247,80.88419,"Ambedkar Nagar, Krishna Nagar, Lucknow, UP, India"
1,2,2,point_of_interest,establishment,store,school,bakery,food,political,park,finance,real_estate_agency,26.76025,80.92008,"1, Omax City, Sarojini Nagar, Lucknow 226301, India"
2,1,3,establishment,point_of_interest,store,finance,food,atm,electronics_store,bank,place_of_worship,sublocality_level_1,26.7878,80.9672,"Ibrahimpur, Lucknow, UP, India"
3,2,4,point_of_interest,establishment,school,general_contractor,political,store,lodging,finance,clothing_store,sublocality,26.75589,80.92925,"Sharda Nagar, Aurangabad Khalsa, Lucknow, UP, India"
4,2,5,establishment,point_of_interest,finance,health,store,accounting,clothing_store,insurance_agency,lawyer,doctor,26.84236,80.87682,"Shaheed Bhagat Singh Marg, Rajaji Puram-Block E, Rajajipuram, Lucknow 226017, India"
5,4,6,establishment,point_of_interest,lodging,bank,store,finance,car_repair,political,atm,clothing_store,26.83887,80.9449,"1 Lal Bahadur Shastri Marg, Husainganj, Lucknow 226001, India"
6,2,7,point_of_interest,establishment,store,school,bakery,food,political,park,finance,real_estate_agency,26.7602,80.91997,"2, Omax City, Sarojini Nagar, Lucknow 226301, India"
7,3,8,establishment,point_of_interest,finance,store,storage,car_repair,food,political,lodging,general_contractor,26.8398,80.90366,"Malviya Nagar, Aishbagh, Lucknow, UP, India"
8,2,9,establishment,point_of_interest,store,general_contractor,school,electronics_store,health,political,finance,lodging,26.85856,80.87309,"New Haiderganj, Balaganj, Lucknow, UP, India"
9,2,10,point_of_interest,establishment,school,general_contractor,political,store,lodging,finance,clothing_store,sublocality,26.75589,80.92925,"Sharda Nagar, Aurangabad Khalsa, Lucknow, UP, India"
10,0,11,establishment,point_of_interest,store,home_goods_store,health,sublocality_level_3,bank,jewelry_store,sublocality,travel_agency,26.85643,80.89118,"Saadatganj, Lucknow, UP, India"
11,1,12,establishment,point_of_interest,store,finance,food,atm,electronics_store,bank,place_of_worship,sublocality_level_1,26.7878,80.9672,"Ibrahimpur, Lucknow, UP, India"
12,2,13,point_of_interest,establishment,store,school,home_goods_store,insurance_agency,furniture_store,moving_company,pharmacy,clothing_store,26.87485,80.88768,"Generalganj, Balaganj, Lucknow, UP, India"
13,1,14,point_of_interest,establishment,finance,atm,bank,store,political,gas_station,home_goods_store,food,26.84018,80.90054,"Aishbagh, Lucknow, UP, India"
14,2,15,point_of_interest,establishment,hospital,store,health,bank,school,finance,jewelry_store,secondary_school,26.84241,80.86114,"Alam Nagar, Buddheshwar, Lucknow, UP, India"
15,4,16,establishment,point_of_interest,lodging,store,food,restaurant,finance,bank,insurance_agency,health,26.84841,80.95065,"Ram Tirath Marg, Narhi, Hazratganj, Lucknow 226001, India"
16,1,17,point_of_interest,establishment,finance,bank,store,place_of_worship,restaurant,atm,food,school,26.79735,80.87771,"Keshari Kheda Road, Indra Lok Colony-Block H, Krishna Nagar, Lucknow 226023, India"
17,0,18,establishment,point_of_interest,store,finance,travel_agency,food,bank,grocery_or_supermarket,electronics_store,cafe,26.86538,80.95977,"Paper Mill Colony, Nishatganj, Lucknow, UP, India"
18,2,19,point_of_interest,establishment,store,food,finance,political,atm,health,bank,university,26.8338,80.95762,"Vikramaditya Marg, Gulistan Colony, Hazratganj, Lucknow 226001, India"
19,2,20,establishment,point_of_interest,finance,food,store,accounting,car_dealer,insurance_agency,general_contractor,real_estate_agency,26.78747,80.89273,"Hind Nagar, Lda Colony, Lucknow, UP, India"
20,3,21,point_of_interest,establishment,store,lodging,political,hindu_temple,home_goods_store,jewelry_store,university,food,26.82085,80.91199,"Patel Nagar, Alambagh, Lucknow, UP, India"
21,1,22,establishment,point_of_interest,store,finance,atm,bank,food,furniture_store,place_of_worship,health,26.78635,80.94477,"Kharika Road, Subhani Khera, Telibagh, Lucknow 226002, India"
22,2,23,point_of_interest,establishment,store,lodging,political,food,home_goods_store,general_contractor,sublocality_level_1,sublocality,26.87858,81.01729,"Shankarpuri, Lucknow, UP, India"
23,0,24,establishment,point_of_interest,store,car_dealer,bank,finance,food,local_government_office,place_of_worship,car_repair,26.87148,80.92736,"Daliganj Road, Mausam Ganj, Nirala Nagar, Lucknow 226020, India"
24,1,25,point_of_interest,establishment,bank,finance,atm,health,store,sublocality_level_3,beauty_salon,sublocality,26.84832,80.91464,"Tilak Nagar Road, Shastri Nagar-Indrani Nagar, Rakabganj, Lucknow 226004, India"
25,3,26,point_of_interest,establishment,health,lodging,school,food,museum,political,real_estate_agency,finance,26.86981,81.03606,"1, Chinhat Garden Area, Chinhat, Lucknow 226028, India"
26,1,27,establishment,point_of_interest,finance,lodging,store,bank,grocery_or_supermarket,travel_agency,atm,food,26.86725,80.95282,"Nishatganj, Lucknow, UP, India"
27,4,28,point_of_interest,establishment,lodging,store,food,clothing_store,restaurant,health,grocery_or_supermarket,political,26.853,80.9368,"Rani Laxmi Bai Marg, Hazratganj, Lucknow 226001, India"
28,0,29,point_of_interest,establishment,store,clothing_store,lodging,political,food,health,place_of_worship,electronics_store,26.94016,81.20876,"Faizulla Ganj, Nawabganj, UP, India"
29,4,30,establishment,point_of_interest,lodging,store,finance,clothing_store,political,restaurant,atm,insurance_agency,26.85178,80.93387,"Jagdish Chandra Bose Marg, Kaiserbagh Officers Colony, Kaiserbagh, Lucknow 226001, India"
30,2,31,establishment,point_of_interest,store,school,food,bank,finance,veterinary_care,general_contractor,lodging,26.82661,80.96313,"Rafi Ahmed Kidwai Marg, Cantonment, Lucknow 226002, India"
31,1,32,establishment,point_of_interest,store,bank,finance,health,clothing_store,lawyer,school,doctor,26.85797,80.92407,"Golaganj, Aminabad, Lucknow, UP, India"
32,0,33,establishment,point_of_interest,store,health,atm,gym,lodging,food,finance,school,26.81038,80.89383,"Chitragupt Nagar, Alambagh, Lucknow, UP, India"
33,3,34,establishment,point_of_interest,finance,atm,political,locality,real_estate_agency,restaurant,food,lodging,26.89124,81.05794,"Chinhat, Lucknow, UP, India"
34,1,35,establishment,point_of_interest,finance,bank,store,university,atm,car_dealer,lodging,courthouse,26.87528,81.00891,"Ismailganj, Chinhat, Lucknow, UP, India"
35,1,36,establishment,point_of_interest,finance,bank,store,university,atm,car_dealer,lodging,courthouse,26.87528,81.00891,"Ismailganj, Chinhat, Lucknow, UP, India"
36,0,37,point_of_interest,establishment,store,clothing_store,lodging,political,food,health,place_of_worship,electronics_store,26.94016,81.20876,"Faizulla Ganj, Nawabganj, UP, India"
37,3,38,establishment,point_of_interest,store,local_government_office,lodging,finance,accounting,school,university,place_of_worship,26.83208,80.94082,"Babu Banarasi das Nagar, Lucknow, UP, India"
38,1,39,point_of_interest,establishment,finance,store,atm,restaurant,food,real_estate_agency,sublocality_level_1,sublocality,26.91108,80.94855,"Janki Puram, Lucknow, UP, India"
39,3,40,point_of_interest,establishment,health,store,electronics_store,lodging,home_goods_store,insurance_agency,sublocality_level_2,political,26.856,80.95912,"Lala Lajpat Rai Marg, Picup Colony, Hazratganj, Lucknow 226001, India"
40,2,41,point_of_interest,establishment,atm,finance,store,political,general_contractor,mosque,school,food,26.81037,80.9137,"Geeta Palli, Alambagh, Lucknow, UP, India"
41,4,42,point_of_interest,establishment,lodging,store,political,car_repair,car_rental,general_contractor,bicycle_store,sublocality,26.84923,80.99726,"Gomti Nagar, Lucknow, UP, India"
42,3,43,point_of_interest,establishment,university,lodging,store,local_government_office,bank,finance,car_dealer,school,26.86839,80.9332,"Mankameshwar Nagar, Lucknow, UP, India"
43,2,44,point_of_interest,establishment,store,lodging,political,food,home_goods_store,general_contractor,sublocality_level_1,sublocality,26.87858,81.01729,"Shankarpuri, Lucknow, UP, India"
44,4,45,establishment,point_of_interest,lodging,store,food,clothing_store,finance,restaurant,school,shoe_store,26.84837,80.94386,"Mahatma Gandhi Marg, Lalbagh, Hazratganj, Lucknow 226001, India"
45,0,46,establishment,point_of_interest,store,food,finance,bakery,grocery_or_supermarket,lodging,electronics_store,doctor,26.8762,80.95586,"Mahanagar, Lucknow, UP, India"
46,0,47,point_of_interest,establishment,store,finance,food,pharmacy,home_goods_store,furniture_store,political,sublocality,26.84811,80.90487,"Labour Colony, Aishbagh, Lucknow, UP, India"
47,1,48,establishment,point_of_interest,store,home_goods_store,bank,finance,school,electronics_store,political,clothing_store,26.88121,80.92615,"Triveni Nagar, Khadra, Lucknow, UP, India"
48,0,49,point_of_interest,establishment,store,clothing_store,lodging,political,food,health,place_of_worship,electronics_store,26.94016,81.20876,"Faizulla Ganj, Nawabganj, UP, India"
49,4,50,establishment,point_of_interest,lodging,store,travel_agency,home_goods_store,movie_theater,health,political,car_repair,26.86375,81.00033,"Rai, Lucknow, UP, India"
50,0,51,point_of_interest,establishment,store,clothing_store,lodging,political,food,health,place_of_worship,electronics_store,26.94016,81.20876,"Faizulla Ganj, Nawabganj, UP, India"
51,2,52,establishment,point_of_interest,store,general_contractor,school,electronics_store,health,political,finance,lodging,26.85856,80.87309,"New Haiderganj, Balaganj, Lucknow, UP, India"
52,2,53,point_of_interest,establishment,health,school,store,home_goods_store,doctor,political,food,lodging,26.88313,81.00531,"Lohiya Nagar, Lakhanaoo, UP, Bharat"
53,0,54,establishment,point_of_interest,store,health,home_goods_store,university,bank,finance,laundry,car_dealer,26.87689,80.92425,"Kudam Rasool, Daleeganj, Lakhanaoo, UP, Bharat"
54,2,55,establishment,point_of_interest,finance,store,health,accounting,clothing_store,hospital,insurance_agency,lawyer,26.84167,80.87735,"Rajaji Puram-Block E, Rajajipuram, Lucknow, UP, India"
55,2,56,point_of_interest,establishment,store,finance,school,bank,political,general_contractor,home_goods_store,movie_theater,26.83086,80.88195,"Sheetla Puram, Manak Nagar, Lucknow, UP, India"
56,3,57,establishment,point_of_interest,health,store,lodging,political,car_repair,finance,dentist,clothing_store,26.88669,80.99334,"Indira Nagar, Lucknow, UP, India"
57,4,58,point_of_interest,establishment,lodging,sublocality,finance,clothing_store,store,political,sublocality_level_2,bank,26.84216,80.92879,"Jadunath Sanyal Road, Model Town-Ghasyari Mandi, Aminabad, Lucknow 226018, India"
58,1,59,point_of_interest,establishment,finance,bank,store,atm,political,electronics_store,post_office,clothing_store,26.8709,80.91336,"Husainabad, Chowk, Lucknow, UP, India"
59,2,60,establishment,point_of_interest,school,store,political,health,general_contractor,food,electronics_store,dentist,26.88297,80.89533,"Daulatganj, Thakurganj, Lucknow, UP, India"
60,2,61,point_of_interest,establishment,store,local_government_office,car_repair,finance,clothing_store,food,lodging,political,26.83599,80.94921,"2 Lal Bahadur Shastri Marg, The Mall Avenue-the Mall Avenue, Husainganj, Lucknow 226001, India"
61,2,62,point_of_interest,establishment,store,clothing_store,mosque,hospital,insurance_agency,place_of_worship,sublocality_level_1,sublocality,26.86858,80.89098,"Gari Peer Khan, Thakurganj, Lucknow, UP, India"
62,3,63,establishment,point_of_interest,lodging,political,police,health,lawyer,finance,hospital,atm,26.87418,80.94462,"Vivekanand Puri, Mahanagar, Lucknow, UP, India"
63,3,64,point_of_interest,establishment,store,lodging,local_government_office,bank,finance,car_dealer,car_repair,political,26.87182,80.93111,"Acharya Narendra Dev Marg, Hasanganj, Nirala Nagar, Lucknow 226020, India"
64,2,65,establishment,point_of_interest,store,clothing_store,health,doctor,political,sublocality_level_1,sublocality,hospital,26.86227,80.88607,"Amber Ganj Road, Wazeerbagh, Saadatganj, Lucknow 226003, India"
65,2,66,establishment,point_of_interest,health,school,store,atm,finance,food,place_of_worship,political,26.81158,80.94939,"Hazrat Mahal Road, Cantt, Lucknow 226002, India"
66,3,67,point_of_interest,establishment,store,finance,lodging,atm,bank,clothing_store,political,insurance_agency,26.84762,80.92227,"Maulaveeganj, Ameenabad, Lakhanaoo, UP, Bharat"
67,1,68,point_of_interest,establishment,bank,finance,store,atm,health,home_goods_store,furniture_store,school,26.85473,80.91709,"Mashaq Ganj Road, Masakganj, Aminabad, Lucknow 226018, India"
68,0,69,establishment,point_of_interest,store,home_goods_store,health,food,bakery,sublocality_level_3,pharmacy,mosque,26.86056,80.8984,"Kashmiri Road, Kashmiri Mohalla, Thakurganj, Lucknow 226003, India"
69,1,70,establishment,point_of_interest,bank,finance,atm,health,place_of_worship,mosque,store,home_goods_store,26.85441,80.9154,"Yahiyaganj, Rakabaganj, Lakhanaoo, UP, Bharat"
70,1,71,establishment,point_of_interest,store,bank,finance,university,clothing_store,car_dealer,general_contractor,furniture_store,26.85767,80.91159,"Raja Bazar Road, Yahiyaganj-Bartan Bazar, Nakkhas, Lucknow 226003, India"
71,0,72,point_of_interest,establishment,store,home_goods_store,finance,school,political,park,bicycle_store,sublocality,26.85185,80.89389,"Bhawani Ganj, Lucknow, UP, India"
72,1,73,establishment,point_of_interest,store,bank,finance,atm,political,clothing_store,health,general_contractor,26.86432,80.90442,"Kali Ji Road, Darzi Ki Bagya, Chowk, Lucknow 226003, India"
73,1,74,establishment,point_of_interest,bank,finance,store,atm,insurance_agency,health,political,school,26.89822,80.94757,"Ali Ganj, Lucknow, UP, India"
