,Name,Address,Type,Latitude_MAIN,Longitude_MAIN,Latitude_temp,Longitude_temp
0,Bank of India,"Star House, Near Bank Pul (Near (ROB)), Gomti Nagar, Lucknow",bank,26.79247,80.88419,26.7897400,80.8890300
1,Bank of India,"Star House, Near Bank Pul (Near (ROB)), Gomti Nagar, Lucknow",finance,26.79247,80.88419,26.7897400,80.8890300
2,Bank of India,"Star House, Near Bank Pul (Near (ROB)), Gomti Nagar, Lucknow",point_of_interest,26.79247,80.88419,26.7897400,80.8890300
3,Bank of India,"Star House, Near Bank Pul (Near (ROB)), Gomti Nagar, Lucknow",establishment,26.79247,80.88419,26.7897400,80.8890300
4,State Bank,"Balaji Complex, Kanpur Road, Kanpur Road, Krishna Complex, Krishna Nagar, Lucknow",atm,26.79247,80.88419,26.7956800,80.8927600
5,State Bank,"Balaji Complex, Kanpur Road, Kanpur Road, Krishna Complex, Krishna Nagar, Lucknow",finance,26.79247,80.88419,26.7956800,80.8927600
6,State Bank,"Balaji Complex, Kanpur Road, Kanpur Road, Krishna Complex, Krishna Nagar, Lucknow",point_of_interest,26.79247,80.88419,26.7956800,80.8927600
7,State Bank,"Balaji Complex, Kanpur Road, Kanpur Road, Krishna Complex, Krishna Nagar, Lucknow",establishment,26.79247,80.88419,26.7956800,80.8927600
8,Sahara India,"Hind Nagar, Kanpur Road, Hind Nagar, Lucknow",food,26.79247,80.88419,26.7954300,80.8930100
9,Sahara India,"Hind Nagar, Kanpur Road, Hind Nagar, Lucknow",point_of_interest,26.79247,80.88419,26.7954300,80.8930100
10,Sahara India,"Hind Nagar, Kanpur Road, Hind Nagar, Lucknow",store,26.79247,80.88419,26.7954300,80.8930100
11,Sahara India,"Hind Nagar, Kanpur Road, Hind Nagar, Lucknow",establishment,26.79247,80.88419,26.7954300,80.8930100
12,Next,"569-k/182, Sneh Nagar, Alambagh, Sneh Nagar, Lucknow",point_of_interest,26.79247,80.88419,26.7941355,80.8848199
13,Next,"569-k/182, Sneh Nagar, Alambagh, Sneh Nagar, Lucknow",establishment,26.79247,80.88419,26.7941355,80.8848199
14,Properties in Lucknow,"Krishna Nagar Colony, Krishna Nagar, Alambagh, Lucknow",point_of_interest,26.79247,80.88419,26.7957146,80.8863111
15,Properties in Lucknow,"Krishna Nagar Colony, Krishna Nagar, Alambagh, Lucknow",establishment,26.79247,80.88419,26.7957146,80.8863111
16,United India Insurance,"Krishna Nagar Market, Vijay Nagar Colony, Krishna Nagar, Alambagh, Lucknow",insurance_agency,26.79247,80.88419,26.7903588,80.8872728
17,United India Insurance,"Krishna Nagar Market, Vijay Nagar Colony, Krishna Nagar, Alambagh, Lucknow",point_of_interest,26.79247,80.88419,26.7903588,80.8872728
18,United India Insurance,"Krishna Nagar Market, Vijay Nagar Colony, Krishna Nagar, Alambagh, Lucknow",establishment,26.79247,80.88419,26.7903588,80.8872728
19,ELIXIR HOMEO CLINIC LUCKNOW,"Alambagh, Plot No. 862 Shop No4 Shringar Nagar, Shrinagar Near B.N. Lal Vocational I, Lucknow",health,26.79247,80.88419,26.7941360,80.8848200
20,ELIXIR HOMEO CLINIC LUCKNOW,"Alambagh, Plot No. 862 Shop No4 Shringar Nagar, Shrinagar Near B.N. Lal Vocational I, Lucknow",point_of_interest,26.79247,80.88419,26.7941360,80.8848200
21,ELIXIR HOMEO CLINIC LUCKNOW,"Alambagh, Plot No. 862 Shop No4 Shringar Nagar, Shrinagar Near B.N. Lal Vocational I, Lucknow",establishment,26.79247,80.88419,26.7941360,80.8848200
22,New Public Inter College,"New Public Inter College, 54a Indralok colony, Krishna Nagar, Lucknow",school,26.79247,80.88419,26.7965407,80.8861450
23,New Public Inter College,"New Public Inter College, 54a Indralok colony, Krishna Nagar, Lucknow",point_of_interest,26.79247,80.88419,26.7965407,80.8861450
24,New Public Inter College,"New Public Inter College, 54a Indralok colony, Krishna Nagar, Lucknow",establishment,26.79247,80.88419,26.7965407,80.8861450
25,Astik Computer Education,"Bhola Khera Krishna Nagar, Krishna Nagar, Vijay Nagar Colony, Alambagh, Lucknow",point_of_interest,26.79247,80.88419,26.7940665,80.8862246
26,Astik Computer Education,"Bhola Khera Krishna Nagar, Krishna Nagar, Vijay Nagar Colony, Alambagh, Lucknow",establishment,26.79247,80.88419,26.7940665,80.8862246
27,classifieds India,India,point_of_interest,26.79247,80.88419,26.7957146,80.8863111
28,classifieds India,India,establishment,26.79247,80.88419,26.7957146,80.8863111
29,Shree Sai Samaz Kalyan Sansthan,"566/27 Ga, jai Prakash Nagar,, Alambagh, Lucknow",point_of_interest,26.79247,80.88419,26.7941360,80.8848200
