,Latitude,Longitude,Name,ID
0,26.79247,80.88419,"Ambedkar Nagar, Krishna Nagar, Lucknow, UP, India",1
1,26.76025,80.92008,"1, Omax City, Sarojini Nagar, Lucknow 226301, India",2
2,26.7878,80.9672,"Ibrahimpur, Lucknow, UP, India",3
3,26.75589,80.92925,"Sharda Nagar, Aurangabad Khalsa, Lucknow, UP, India",4
4,26.84236,80.87682,"Shaheed Bhagat Singh Marg, Rajaji Puram-Block E, Rajajipuram, Lucknow 226017, India",5
5,26.83887,80.9449,"1 Lal Bahadur Shastri Marg, Husainganj, Lucknow 226001, India",6
6,26.7602,80.91997,"2, Omax City, Sarojini Nagar, Lucknow 226301, India",7
7,26.8398,80.90366,"Malviya Nagar, Aishbagh, Lucknow, UP, India",8
8,26.85856,80.87309,"New Haiderganj, Balaganj, Lucknow, UP, India",9
9,26.75589,80.92925,"Sharda Nagar, Aurangabad Khalsa, Lucknow, UP, India",10
10,26.85643,80.89118,"Saadatganj, Lucknow, UP, India",11
11,26.7878,80.9672,"Ibrahimpur, Lucknow, UP, India",12
12,26.87485,80.88768,"Generalganj, Balaganj, Lucknow, UP, India",13
13,26.84018,80.90054,"Aishbagh, Lucknow, UP, India",14
14,26.84241,80.86114,"Alam Nagar, Buddheshwar, Lucknow, UP, India",15
15,26.84841,80.95065,"Ram Tirath Marg, Narhi, Hazratganj, Lucknow 226001, India",16
16,26.79735,80.87771,"Keshari Kheda Road, Indra Lok Colony-Block H, Krishna Nagar, Lucknow 226023, India",17
17,26.86538,80.95977,"Paper Mill Colony, Nishatganj, Lucknow, UP, India",18
18,26.8338,80.95762,"Vikramaditya Marg, Gulistan Colony, Hazratganj, Lucknow 226001, India",19
19,26.78747,80.89273,"Hind Nagar, Lda Colony, Lucknow, UP, India",20
20,26.82085,80.91199,"Patel Nagar, Alambagh, Lucknow, UP, India",21
21,26.78635,80.94477,"Kharika Road, Subhani Khera, Telibagh, Lucknow 226002, India",22
22,26.87858,81.01729,"Shankarpuri, Lucknow, UP, India",23
23,26.87148,80.92736,"Daliganj Road, Mausam Ganj, Nirala Nagar, Lucknow 226020, India",24
24,26.84832,80.91464,"Tilak Nagar Road, Shastri Nagar-Indrani Nagar, Rakabganj, Lucknow 226004, India",25
25,26.86981,81.03606,"1, Chinhat Garden Area, Chinhat, Lucknow 226028, India",26
26,26.86725,80.95282,"Nishatganj, Lucknow, UP, India",27
27,26.853,80.9368,"Rani Laxmi Bai Marg, Hazratganj, Lucknow 226001, India",28
28,26.94016,81.20876,"Faizulla Ganj, Nawabganj, UP, India",29
29,26.85178,80.93387,"Jagdish Chandra Bose Marg, Kaiserbagh Officers Colony, Kaiserbagh, Lucknow 226001, India",30
30,26.82661,80.96313,"Rafi Ahmed Kidwai Marg, Cantonment, Lucknow 226002, India",31
31,26.85797,80.92407,"Golaganj, Aminabad, Lucknow, UP, India",32
32,26.81038,80.89383,"Chitragupt Nagar, Alambagh, Lucknow, UP, India",33
33,26.89124,81.05794,"Chinhat, Lucknow, UP, India",34
34,26.87528,81.00891,"Ismailganj, Chinhat, Lucknow, UP, India",35
35,26.87528,81.00891,"Ismailganj, Chinhat, Lucknow, UP, India",36
36,26.94016,81.20876,"Faizulla Ganj, Nawabganj, UP, India",37
37,26.83208,80.94082,"Babu Banarasi das Nagar, Lucknow, UP, India",38
38,26.91108,80.94855,"Janki Puram, Lucknow, UP, India",39
39,26.856,80.95912,"Lala Lajpat Rai Marg, Picup Colony, Hazratganj, Lucknow 226001, India",40
40,26.81037,80.9137,"Geeta Palli, Alambagh, Lucknow, UP, India",41
41,26.84923,80.99726,"Gomti Nagar, Lucknow, UP, India",42
